iter	Passed	Remaining
0	4	427
1	8	399
2	11	384
3	14	355
4	18	357
5	23	368
6	28	377
7	32	378
8	37	378
9	42	380
10	46	372
11	48	357
12	50	340
13	53	325
14	55	312
15	57	299
16	59	289
17	61	278
18	63	270
19	65	262
20	67	254
21	69	247
22	71	240
23	73	233
24	75	227
25	77	220
26	79	214
27	80	207
28	82	202
29	84	196
30	85	190
31	87	185
32	89	180
33	90	176
34	92	171
35	94	167
36	95	163
37	97	159
38	99	155
39	100	151
40	102	147
41	103	142
42	105	139
43	106	135
44	108	132
45	110	129
46	111	126
47	113	122
48	115	119
49	116	116
50	118	113
51	120	110
52	121	107
53	123	105
54	124	101
55	126	99
56	127	96
57	129	93
58	131	91
59	133	88
60	134	86
61	136	83
62	138	81
63	139	78
64	141	76
65	143	73
66	145	71
67	146	69
68	148	66
69	150	64
70	151	62
71	153	59
72	155	57
73	156	55
74	158	52
75	160	50
76	162	48
77	164	46
78	166	44
79	167	41
80	169	39
81	171	37
82	172	35
83	174	33
84	176	31
85	177	28
86	179	26
87	181	24
88	183	22
89	184	20
90	186	18
91	188	16
92	189	14
93	191	12
94	193	10
95	194	8
96	196	6
97	197	4
98	199	2
99	201	0
